dataset,regime,fid_winner,clip_winner,disagree,num_candidates
anime_student,D-High,KMC_D-High,Random_D-High,True,2
anime_student,D-Low,KMC_D-Low,Random_D-Low,True,2
anime_student,D-Medium,KMC_D-Medium,Random_D-Medium,True,2
anime_student,D-Sub-25,Random_D-Sub-25,KMC_D-Sub-25,True,2
anime_student,D-Sub-50,Random_D-Sub-50,KMC_D-Sub-50,True,2
dreambooth_mixed,D-High,Random_D-High,Random_D-High,False,2
dreambooth_mixed,D-Low,KMC_D-Low,Random_D-Low,True,2
dreambooth_mixed,D-Medium,Random_D-Medium,Random_D-Medium,False,2
dreambooth_mixed,D-Sub-25,Random_D-Sub-25,Random_D-Sub-25,False,2
dreambooth_mixed,D-Sub-50,Random_D-Sub-50,Random_D-Sub-50,False,2
dreambooth_single,D-High,Random_D-High,KMC_D-High,True,2
dreambooth_single,D-Low,Random_D-Low,KMC_D-Low,True,2
dreambooth_single,D-Medium,Random_D-Medium,KMC_D-Medium,True,2
dreambooth_single,D-Sub-25,Random_D-Sub-25,KMC_D-Sub-25,True,2
dreambooth_single,D-Sub-50,Random_D-Sub-50,KMC_D-Sub-50,True,2
wikiart_mixed,D-High,Random_D-High,KMC_D-High,True,2
wikiart_mixed,D-Low,Random_D-Low,Random_D-Low,False,2
wikiart_mixed,D-Medium,Random_D-Medium,Random_D-Medium,False,2
wikiart_mixed,D-Sub-25,KMC_D-Sub-25,Random_D-Sub-25,True,2
wikiart_mixed,D-Sub-50,Random_D-Sub-50,Random_D-Sub-50,False,2
