Dataset,Method,Final Loss,Time (min),FID,CLIP
Anime-Student,Random D-High,0.0204,12.0,-,-
Anime-Student,KMC D-High,0.1083,9.3,-,-
Anime-Student,Random D-Medium,0.0328,25.0,-,-
Anime-Student,KMC D-Medium,0.1083,9.3,-,-
Anime-Student,Random D-Low,0.0245,22.5,-,-
Anime-Student,KMC D-Low,0.0152,8.3,-,-
Anime-Student,Random D-Sub-50,0.0324,25.2,-,-
Anime-Student,KMC D-Sub-50,0.0800,9.0,-,-
Anime-Student,Random D-Sub-25,0.0288,21.6,-,-
Anime-Student,KMC D-Sub-25,0.0855,9.2,-,-
Anime-Student,Quality Filter,0.0566,13.6,-,-
Anime-Student,Anti Curriculum,0.0263,11.2,-,-
WikiArt-Mixed,Random D-High,0.0900,70.8,-,-
WikiArt-Mixed,KMC D-High,0.1776,8.9,-,-
WikiArt-Mixed,Random D-Medium,0.0902,8.1,-,-
WikiArt-Mixed,KMC D-Medium,0.1776,8.7,-,-
WikiArt-Mixed,Random D-Low,0.0867,8.7,-,-
WikiArt-Mixed,KMC D-Low,0.1776,8.8,-,-
WikiArt-Mixed,Random D-Sub-50,0.0990,11.2,-,-
WikiArt-Mixed,KMC D-Sub-50,0.1776,9.1,-,-
WikiArt-Mixed,Random D-Sub-25,0.0766,15.0,-,-
WikiArt-Mixed,KMC D-Sub-25,0.1776,8.7,-,-
WikiArt-Mixed,Quality Filter,0.0978,9.2,-,-
WikiArt-Mixed,Anti Curriculum,0.0839,8.0,-,-
DreamBooth-Mixed,Random D-High,0.2043,6.1,-,-
DreamBooth-Mixed,KMC D-High,0.0312,11.0,-,-
DreamBooth-Mixed,Random D-Medium,0.2274,6.4,-,-
DreamBooth-Mixed,KMC D-Medium,0.0312,11.0,-,-
DreamBooth-Mixed,Random D-Low,0.2894,16.4,-,-
DreamBooth-Mixed,KMC D-Low,0.0312,11.0,-,-
DreamBooth-Mixed,Random D-Sub-50,0.3211,6.1,-,-
DreamBooth-Mixed,KMC D-Sub-50,0.0312,11.0,-,-
DreamBooth-Mixed,Random D-Sub-25,0.1867,8.8,-,-
DreamBooth-Mixed,KMC D-Sub-25,0.0312,11.1,-,-
DreamBooth-Mixed,Quality Filter,0.3430,12.5,-,-
DreamBooth-Mixed,Anti Curriculum,0.1791,6.1,-,-
DreamBooth-Single,Random D-High,0.4414,14.4,-,-
DreamBooth-Single,KMC D-High,0.1332,42.3,-,-
DreamBooth-Single,Random D-Medium,0.3571,17.5,-,-
DreamBooth-Single,KMC D-Medium,0.1332,43.2,-,-
DreamBooth-Single,Random D-Low,0.3967,22.5,-,-
DreamBooth-Single,KMC D-Low,0.1332,43.0,-,-
DreamBooth-Single,Random D-Sub-50,0.4410,14.6,-,-
DreamBooth-Single,KMC D-Sub-50,0.1332,43.5,-,-
DreamBooth-Single,Random D-Sub-25,0.3579,14.8,-,-
DreamBooth-Single,KMC D-Sub-25,0.1332,43.7,-,-
DreamBooth-Single,Quality Filter,0.2753,64.7,-,-
DreamBooth-Single,Anti Curriculum,0.4415,15.3,-,-
