dataset,split,method,mean_fid,std_fid,num_seeds
wikiart_mixed,D-High,p2-only,217.67916,6.08411983634445,5
wikiart_mixed,D-High,p3-only-long,221.53518,2.8568752898927827,5
wikiart_mixed,D-High,p2-p3-replay,219.27388000000002,2.9704620351049713,5
wikiart_mixed,D-Medium,p2-only,220.17006,4.47876698523153,5
wikiart_mixed,D-Medium,p3-only-long,222.83288000000002,2.0307403851797377,5
wikiart_mixed,D-Medium,p2-p3-replay,220.06678000000002,3.6322941768254466,5
wikiart_mixed,D-Medium,scale-aware-v1,222.15900000000002,2.5628920568373372,5
wikiart_mixed,D-Low,p2-only,244.07576,5.274671841261786,5
wikiart_mixed,D-Low,p3-only-long,245.5484,2.4320955830312205,5
wikiart_mixed,D-Low,p2-p3-replay,242.79784,7.665951328308847,5
wikiart_mixed,D-Sub-50,p2-only,278.28906,3.901953859670814,5
wikiart_mixed,D-Sub-50,p3-only-long,273.68726,1.6069267198599748,5
wikiart_mixed,D-Sub-50,p2-p3-replay,276.34842,5.319501818497676,5
wikiart_mixed,D-Sub-50,scale-aware-v1,278.04884,4.049378945344566,5
wikiart_mixed,D-Sub-25,p2-only,293.57255999999995,2.558168370729357,5
wikiart_mixed,D-Sub-25,p3-only-long,297.21384,4.646008432299706,5
wikiart_mixed,D-Sub-25,p2-p3-replay,295.05021999999997,2.675626806376397,5
wikiart_mixed,D-Sub-25,scale-aware-v1,294.2833,2.8668949091307865,5
dreambooth_mixed,D-High,p2-only,227.31644,3.002313363558182,5
dreambooth_mixed,D-High,p3-only-long,237.82219999999998,6.4733332642464685,5
dreambooth_mixed,D-High,p2-p3-replay,229.58499999999998,2.4910110878918177,5
dreambooth_mixed,D-Medium,p2-only,228.1489,5.871335621049101,5
dreambooth_mixed,D-Medium,p3-only-long,243.52143999999998,6.484330312993004,5
dreambooth_mixed,D-Medium,p2-p3-replay,225.21804000000003,3.272894747467441,5
dreambooth_mixed,D-Medium,scale-aware-v1,243.16858000000002,6.029262335228064,5
dreambooth_mixed,D-Low,p2-only,287.7158,8.735043225422526,5
dreambooth_mixed,D-Low,p3-only-long,280.53642,2.6856067251181654,5
dreambooth_mixed,D-Low,p2-p3-replay,287.14232000000004,8.387270949301685,5
dreambooth_mixed,D-Sub-50,p2-only,230.06995999999998,6.3781644266199375,5
dreambooth_mixed,D-Sub-50,p3-only-long,241.71362,5.465262926612029,5
dreambooth_mixed,D-Sub-50,p2-p3-replay,231.66896000000003,5.357553677099277,5
dreambooth_mixed,D-Sub-50,scale-aware-v1,229.78876,7.746278170386079,5
dreambooth_mixed,D-Sub-25,p2-only,237.35807999999997,4.326088150627543,5
dreambooth_mixed,D-Sub-25,p3-only-long,256.59966,7.97558727166846,5
dreambooth_mixed,D-Sub-25,p2-p3-replay,239.58986,5.901890324124976,5
dreambooth_mixed,D-Sub-25,scale-aware-v1,239.12084,6.086861896576928,5
