experiment_group,split,seed,method,status,exit_code,elapsed_sec
scale-aware-formal,D-High,42,p2-only,fail,4294967295,36281.7
scale-aware-formal,D-High,42,p2-only,fail,1,27.3
scale-aware-formal,D-High,42,p2-only,fail,1,0.7
scale-aware-formal,D-High,42,p2-only,ok,0,997.1
scale-aware-formal,D-High,42,p3-only-long,ok,0,993.6
scale-aware-formal,D-High,42,p2-p3-replay,ok,0,1024.4
scale-aware-formal,D-High,52,p2-only,ok,0,1009.0
scale-aware-formal,D-High,52,p3-only-long,ok,0,1008.5
scale-aware-formal,D-High,52,p2-p3-replay,ok,0,1019.7
scale-aware-formal,D-High,62,p2-only,ok,0,958.6
scale-aware-formal,D-High,62,p3-only-long,ok,0,942.3
scale-aware-formal,D-High,62,p2-p3-replay,ok,0,970.8
scale-aware-formal,D-High,72,p2-only,ok,0,944.6
scale-aware-formal,D-High,72,p3-only-long,fail,1,12.3
scale-aware-formal,D-High,42,p2-only,ok,0,0.4
scale-aware-formal,D-High,42,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,42,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-High,52,p2-only,ok,0,0.4
scale-aware-formal,D-High,52,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,52,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-High,62,p2-only,ok,0,0.5
scale-aware-formal,D-High,62,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,62,p2-p3-replay,ok,0,0.5
scale-aware-formal,D-High,72,p2-only,ok,0,0.4
scale-aware-formal,D-High,72,p3-only-long,ok,0,941.1
scale-aware-formal,D-High,72,p2-p3-replay,ok,0,951.3
scale-aware-formal,D-High,82,p2-only,ok,0,938.0
scale-aware-formal,D-High,82,p3-only-long,ok,0,935.4
scale-aware-formal,D-High,82,p2-p3-replay,ok,0,950.5
scale-aware-formal,D-Medium,42,scale-aware-v1,ok,0,942.4
scale-aware-formal,D-Medium,42,p2-only,fail,1,894.9
scale-aware-formal,D-High,42,p2-only,ok,0,0.4
scale-aware-formal,D-High,42,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,42,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-High,52,p2-only,ok,0,0.4
scale-aware-formal,D-High,52,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,52,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-High,62,p2-only,ok,0,0.4
scale-aware-formal,D-High,62,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,62,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-High,72,p2-only,ok,0,0.4
scale-aware-formal,D-High,72,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,72,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-High,82,p2-only,ok,0,0.4
scale-aware-formal,D-High,82,p3-only-long,ok,0,0.4
scale-aware-formal,D-High,82,p2-p3-replay,ok,0,0.4
scale-aware-formal,D-Medium,42,scale-aware-v1,ok,0,0.4
