split,method,mean_fid,std_fid,min_fid,max_fid,num_seeds
D-High,p2-only,190.93562,14.481488287361904,177.2781,206.442,5
D-High,p3-only-long,216.13598000000002,10.922983039078664,206.9997,232.6253,5
D-High,p2-p3-replay,199.09570000000002,8.27258365445766,193.2461,204.9453,2
D-Medium,p2-only,194.73597999999998,18.59337792459993,175.0883,212.2677,5
D-Medium,p3-only-long,215.2756,9.443710619507577,208.6638,230.2872,5
D-Medium,p2-p3-replay,221.29454,28.976494148499047,187.7047,260.5784,5
D-Low,p2-only,255.723,22.48299096417113,223.916,276.4612,5
D-Low,p3-only-long,236.33708000000001,3.174123860532237,233.2822,241.1809,5
D-Low,p2-p3-replay,221.97895,7.044551307570964,216.9977,226.9602,2
D-Sub-50,p2-only,275.32952,29.578596506291507,249.6515,324.4339,5
D-Sub-50,p3-only-long,296.55744,6.528564731470455,288.8412,304.7564,5
D-Sub-50,p2-p3-replay,274.52832,22.413488761167894,248.7372,297.6352,5
D-Sub-25,p2-only,327.34734,15.606835114077414,306.5855,343.9,5
D-Sub-25,p3-only-long,328.56702,5.668031588391143,320.3457,334.1502,5
D-Sub-25,p2-p3-replay,322.06292,16.6156945761229,303.846,338.0914,5
