experiment,method,split,seed,fid,num_real,num_gen
p2-only_D-High_seed42,p2-only,D-High,42,178.8447,500,300
p2-only_D-High_seed52,p2-only,D-High,52,185.731,500,300
p2-only_D-High_seed62,p2-only,D-High,62,206.442,500,300
p2-only_D-High_seed72,p2-only,D-High,72,206.3823,500,300
p2-only_D-High_seed82,p2-only,D-High,82,177.2781,500,300
p3-only-long_D-High_seed42,p3-only-long,D-High,42,209.7845,500,300
p3-only-long_D-High_seed52,p3-only-long,D-High,52,222.0005,500,300
p3-only-long_D-High_seed62,p3-only-long,D-High,62,209.2699,500,300
p3-only-long_D-High_seed72,p3-only-long,D-High,72,206.9997,500,300
p3-only-long_D-High_seed82,p3-only-long,D-High,82,232.6253,500,300
p2-p3-replay_D-High_seed72,p2-p3-replay,D-High,72,204.9453,500,300
p2-p3-replay_D-High_seed82,p2-p3-replay,D-High,82,193.2461,500,300
p2-only_D-Medium_seed42,p2-only,D-Medium,42,212.2677,500,300
p2-only_D-Medium_seed52,p2-only,D-Medium,52,198.638,500,300
p2-only_D-Medium_seed62,p2-only,D-Medium,62,175.5039,500,300
p2-only_D-Medium_seed72,p2-only,D-Medium,72,175.0883,500,300
p2-only_D-Medium_seed82,p2-only,D-Medium,82,212.182,500,300
p3-only-long_D-Medium_seed42,p3-only-long,D-Medium,42,208.7342,500,300
p3-only-long_D-Medium_seed52,p3-only-long,D-Medium,52,218.9915,500,300
p3-only-long_D-Medium_seed62,p3-only-long,D-Medium,62,209.7013,500,300
p3-only-long_D-Medium_seed72,p3-only-long,D-Medium,72,208.6638,500,300
p3-only-long_D-Medium_seed82,p3-only-long,D-Medium,82,230.2872,500,300
p2-p3-replay_D-Medium_seed42,p2-p3-replay,D-Medium,42,260.5784,500,300
p2-p3-replay_D-Medium_seed52,p2-p3-replay,D-Medium,52,187.7047,500,300
p2-p3-replay_D-Medium_seed62,p2-p3-replay,D-Medium,62,210.6724,500,300
p2-p3-replay_D-Medium_seed72,p2-p3-replay,D-Medium,72,240.5228,500,300
p2-p3-replay_D-Medium_seed82,p2-p3-replay,D-Medium,82,206.9944,500,300
p2-only_D-Low_seed42,p2-only,D-Low,42,223.916,102,300
p2-only_D-Low_seed52,p2-only,D-Low,52,243.1755,102,300
p2-only_D-Low_seed62,p2-only,D-Low,62,259.0495,102,300
p2-only_D-Low_seed72,p2-only,D-Low,72,276.4612,102,300
p2-only_D-Low_seed82,p2-only,D-Low,82,276.0128,102,300
p3-only-long_D-Low_seed42,p3-only-long,D-Low,42,235.0223,102,300
p3-only-long_D-Low_seed52,p3-only-long,D-Low,52,237.7829,102,300
p3-only-long_D-Low_seed62,p3-only-long,D-Low,62,241.1809,102,300
p3-only-long_D-Low_seed72,p3-only-long,D-Low,72,234.4171,102,300
p3-only-long_D-Low_seed82,p3-only-long,D-Low,82,233.2822,102,300
p2-p3-replay_D-Low_seed72,p2-p3-replay,D-Low,72,226.9602,102,300
p2-p3-replay_D-Low_seed82,p2-p3-replay,D-Low,82,216.9977,102,300
p2-only_D-Sub-50_seed42,p2-only,D-Sub-50,42,324.4339,50,300
p2-only_D-Sub-50_seed52,p2-only,D-Sub-50,52,256.0151,50,300
p2-only_D-Sub-50_seed62,p2-only,D-Sub-50,62,268.4016,50,300
p2-only_D-Sub-50_seed72,p2-only,D-Sub-50,72,249.6515,50,300
p2-only_D-Sub-50_seed82,p2-only,D-Sub-50,82,278.1455,50,300
p3-only-long_D-Sub-50_seed42,p3-only-long,D-Sub-50,42,293.364,50,300
p3-only-long_D-Sub-50_seed52,p3-only-long,D-Sub-50,52,288.8412,50,300
p3-only-long_D-Sub-50_seed62,p3-only-long,D-Sub-50,62,294.0493,50,300
p3-only-long_D-Sub-50_seed72,p3-only-long,D-Sub-50,72,304.7564,50,300
p3-only-long_D-Sub-50_seed82,p3-only-long,D-Sub-50,82,301.7763,50,300
p2-p3-replay_D-Sub-50_seed42,p2-p3-replay,D-Sub-50,42,297.6352,50,300
p2-p3-replay_D-Sub-50_seed52,p2-p3-replay,D-Sub-50,52,248.7372,50,300
p2-p3-replay_D-Sub-50_seed62,p2-p3-replay,D-Sub-50,62,253.3237,50,300
p2-p3-replay_D-Sub-50_seed72,p2-p3-replay,D-Sub-50,72,292.6117,50,300
p2-p3-replay_D-Sub-50_seed82,p2-p3-replay,D-Sub-50,82,280.3338,50,300
p2-only_D-Sub-25_seed42,p2-only,D-Sub-25,42,315.5782,25,300
p2-only_D-Sub-25_seed52,p2-only,D-Sub-25,52,336.578,25,300
p2-only_D-Sub-25_seed62,p2-only,D-Sub-25,62,334.095,25,300
p2-only_D-Sub-25_seed72,p2-only,D-Sub-25,72,306.5855,25,300
p2-only_D-Sub-25_seed82,p2-only,D-Sub-25,82,343.9,25,300
p3-only-long_D-Sub-25_seed42,p3-only-long,D-Sub-25,42,320.3457,25,300
p3-only-long_D-Sub-25_seed52,p3-only-long,D-Sub-25,52,327.3951,25,300
p3-only-long_D-Sub-25_seed62,p3-only-long,D-Sub-25,62,327.223,25,300
p3-only-long_D-Sub-25_seed72,p3-only-long,D-Sub-25,72,334.1502,25,300
p3-only-long_D-Sub-25_seed82,p3-only-long,D-Sub-25,82,333.7211,25,300
p2-p3-replay_D-Sub-25_seed42,p2-p3-replay,D-Sub-25,42,333.4449,25,300
p2-p3-replay_D-Sub-25_seed52,p2-p3-replay,D-Sub-25,52,303.846,25,300
p2-p3-replay_D-Sub-25_seed62,p2-p3-replay,D-Sub-25,62,330.5762,25,300
p2-p3-replay_D-Sub-25_seed72,p2-p3-replay,D-Sub-25,72,304.3561,25,300
p2-p3-replay_D-Sub-25_seed82,p2-p3-replay,D-Sub-25,82,338.0914,25,300
